id ground_truth predicted
1000366883 2 2
1001131 5 5
1001577 8 8
1004215 3 3
1005724275 9 9
100615 13 13
1006530040 6 6
1011069317 2 2
1011730119 2 2
1011804899 3 3
1011931657 9 9
1011934 3 3
101767 7 7
1018744 3 3
1020140806 6 6
1024139 1 1
1024294541 2 2
1025843957 12 12
1026232 5 5
1028074075 5 5
1028080892 5 5
1028081342 5 5
1028085759 7 3
1028085965 7 0
1028094195 6 6
1028094245 5 5
1028094280 10 12
1028095812 3 3
1028097905 1 1
1028099435 1 1
1028099804 1 1
1028100324 1 1
1028100567 12 12
1028100578 12 12
1028100594 12 12
1028100610 12 12
1028100626 12 12
1028100629 12 12
1028100633 12 12
1028100645 12 12
1028100646 12 12
1028100685 12 12
1028100781 12 12
1028223005 5 5
1028848471 12 12
1029288 13 13
1029951 5 5
1030290 7 7
1030595 1 1
1031718 12 12
1033429 11 11
1033698867 3 3
103432 8 8
1035689 7 7
1035761 12 12
1036119841 3 3
1036665709 9 9
1039437 12 12
1039476118 5 5
1044867 1 1
1045045 11 11
1058823 11 11
1060522881 3 3
1061158352 5 5
1063842728 5 5
1064045 13 13
1065003 12 12
106676 1 1
1068334 3 3
1072654 12 12
1074866 6 6
1080153679 5 5
1086434 11 11
1091550 1 1
1092647 7 7
1092689 13 13
1093796 7 7
1094330 12 12
109451 12 12
1095838 12 12
1097346 8 8
1097741 1 1
1098480857 1 1
1099493 1 1
1099975 3 3
1105502048 7 3
1105502103 5 5
1105502106 2 2
1105502108 5 5
1106757 3 3
111841 8 8
1122986 5 5
1124067 3 3
1124233 11 11
1127289 5 5
1130115 8 8
1134597 7 7
113747 7 7
114012 11 11
1140301 12 12
114127 8 8
1142930 7 7
1143395 7 7
1144183 3 3
1144505 8 8
1152329478 13 13
1154038 7 7
1159360 1 1
1164642 5 5
1175783 1 1
1176 12 12
118175142 3 3
1184168 12 12
1190736 12 12
11912 5 5
1192045 7 7
1193104 1 1
1194482 1 1
1198147 11 11
1201190426 3 3
120832 1 3
1209699 11 11
1210378 1 1
121124 1 1
121262 8 8
1213761 3 3
1214756 1 1
1215180 13 13
1216653 8 8
1217850 7 0
1220902 1 1
1221448 5 5
1221866 1 1
1228373 7 7
1230279 3 3
1231828 11 11
1232790 5 5
1233369 1 1
1238690 7 7
124248221 3 3
1250286 12 12
1252581 1 1
1256823 8 8
125775 8 8
1259641 12 12
126425 12 12
1265030 1 1
126637 11 11
1266495 7 7
1267669 1 1
1270608 5 5
1279355 1 1
127946 12 12
1281781 1 1
1282888 1 1
1283922 5 5
1287290 1 1
1288915 8 8
1290413 11 3
129100 13 13
1291163 7 7
1291755 5 5
1292360 3 3
1299733 7 7
1303184 1 1
1304470 1 1
1304472397 1 1
1307929 1 1
1310787 7 7
1319091 1 1
1322519 6 6
1324089 13 13
132456 11 11
1327123 12 12
1330549 3 3
1331531447 11 11
1335769 7 7
1335817 12 12
1337111 5 5
1338015 12 12
1339583 12 12
134133867 3 3
134133873 3 3
1345472 12 12
1346003 8 8
1346015 12 12
1348362 13 13
1349068 1 1
1349307 1 1
1353433 8 8
1355639 1 1
135821 1 1
1360289 12 12
1361090 1 1
1362712 7 7
1366297 8 8
1369503 1 1
1371311 8 8
1374782 8 8
