AC,priority,label-val,between_connectivity,cluster
AFE02723.1,False,0,0,0.0
ABV26705,False,0,0,0.0
ABV26707,False,0,0,0.0
CAZ48628,False,0,0,0.0
ABR68540,False,0,0,0.0
AAB41059,False,0,0,0.0
AGC29882.1,False,0,0,0.0
AIA08936.1,False,0,0,0.0
ADV91011.1,False,0,0,0.0
AAC05822.1,False,0,0,0.0
APB03222.1,False,0,0,0.0
BAD59497.1,False,0,0,0.0
NP_312937.1,False,0,0,0.0
CDJ72759,False,0,0,0.0
ABH08225,False,0,0,0.0
AAY97109,False,0,0,0.0
AAA48273,False,0,0,0.0
YP_717427,False,0,0,0.0
AAA60851,False,0,0,0.0
ABZ80060,False,0,0,0.0
CAD90667,False,0,0,0.0
NP_671620,False,0,0,0.0
AAM13572,False,0,0,0.0
AAG37597,False,0,0,0.0
AAU01314,False,0,0,0.0
AAK44921.1,False,0,0,0.0
AFK60290.1,False,0,0,0.0
WP_000918667.1,False,0,0,0.0
NP_273190.1,False,0,0,0.0
WP_000331899.1,False,0,0,0.0
CAH14593.1,False,0,0,0.0
AAO82906.1,False,0,0,0.0
BAH76607.1,False,0,0,0.0
AEE65537.1,False,0,0,0.0
CAR63501.1,False,0,0,0.0
NP_463022.1,False,0,0,0.0
YP_001708330.1,False,0,0,0.0
WP_003690105.1,False,0,0,0.0
YP_001085750.1,False,0,0,0.0
YP_003610761.1,False,0,0,0.0
CAU08345.1,False,0,0,0.0
CAB11883.2,False,0,0,0.0
ABB63696.1,False,0,0,0.0
WP_000907145.1,False,0,0,0.0
WP_011245006.1,False,0,0,0.0
ACH52168.1,False,0,0,0.0
CAW30930.1,False,0,0,0.0
WP_003156440.1,False,0,0,0.0
ACO83795.1,False,0,0,0.0
NP_252960.1,False,0,0,0.0
YP_002343912.1,False,0,0,0.0
NG_047480.1,False,0,0,0.0
CAW30932.1,False,0,0,0.0
WP_000918666.1,False,0,0,0.0
ABZ82584.1,False,0,0,1.0
NP_251182.1,False,0,0,1.0
CAC29732.1,False,0,0,0.0
AAL97684.1,False,0,0,0.0
CAE53425,False,0,0,1.0
ACJ39691,False,0,0,1.0
ABQ96629,False,0,0,1.0
AAF61485,False,0,0,1.0
YP_001969930,False,0,0,1.0
BAF36555,False,0,0,1.0
YP_001746870,False,0,0,1.0
ABG36700,False,0,0,1.0
NP_414618.4,False,0,0,0.0
CAF18336,False,0,0,1.0
AAN60217,False,0,0,1.0
ACN65403,False,0,0,1.0
ABC76093,False,0,0,1.0
AAB05462.1,False,0,0,1.0
ABS18770.1,False,0,0,1.0
AAL10704.1,False,0,0,1.0
NP_462206.1,False,0,0,0.0
YP_002344015.1,False,0,0,0.0
CBA27391.1,False,0,0,0.0
CAG34240.1,False,0,0,1.0
CAJ13500.1,False,0,0,1.0
WP_078132003.1,False,0,0,0.0
